"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 24, 2021","722","723","725","720","13.68M","-0.14%"
"Feb 23, 2021","723","724","725","719","6.35M","-0.14%"
"Feb 22, 2021","724","720","724","719","3.43M","0.56%"
"Feb 21, 2021","720","719","722","719","1.84M","0.00%"
"Feb 18, 2021","720","722","723","718","6.54M","-0.14%"
"Feb 17, 2021","721","723","725","721","2.91M","-0.28%"
"Feb 16, 2021","723","720","726","720","5.44M","0.42%"
"Feb 15, 2021","720","719","720","716","4.14M","0.28%"
"Feb 14, 2021","718","720","720","718","1.82M","-0.28%"
"Feb 11, 2021","720","716","722","715","3.72M","0.14%"
"Feb 10, 2021","719","723","724","712","7.79M","-0.55%"
"Feb 09, 2021","723","722","725","720","6.19M","-0.28%"
"Feb 08, 2021","725","727","729","724","5.49M","-0.28%"
"Feb 07, 2021","727","725","728","724","11.54M","1.11%"
"Feb 04, 2021","719","709","721","702","13.33M","0.42%"
"Feb 03, 2021","716","724","724","714","11.00M","-1.10%"
"Feb 02, 2021","724","724","726","722","5.79M","0.28%"
"Feb 01, 2021","722","723","725","720","9.28M","0.00%"
"Jan 31, 2021","722","715","724","714","13.66M","0.98%"
"Jan 28, 2021","715","711","715","709","9.42M","0.28%"
"Jan 27, 2021","713","703","713","703","11.72M","1.13%"
"Jan 26, 2021","705","705","707","702","5.27M","-0.14%"
"Jan 25, 2021","706","706","707","703","7.91M","0.14%"
"Jan 24, 2021","705","705","706","704","6.19M","0.28%"
"Jan 21, 2021","703","704","704","701","3.12M","-0.14%"
"Jan 20, 2021","704","703","706","701","5.05M","0.14%"
"Jan 19, 2021","703","697","704","697","11.83M","0.86%"
"Jan 18, 2021","697","695","697","694","4.58M","0.14%"
"Jan 17, 2021","696","697","698","695","3.54M","-0.29%"
"Jan 14, 2021","698","695","698","694","6.14M","0.14%"
"Jan 13, 2021","697","697","697","693","5.27M","0.14%"
"Jan 12, 2021","696","693","697","693","7.93M","0.43%"
"Jan 11, 2021","693","686","694","684","11.60M","1.17%"
"Jan 10, 2021","685","684","689","684","7.70M","0.44%"
"Jan 07, 2021","682","678","682","676","4.98M","0.44%"
"Jan 06, 2021","679","681","681","678","1.97M","-0.44%"
"Jan 05, 2021","682","680","682","676","7.02M","0.59%"
"Jan 04, 2021","678","676","679","672","4.60M","0.15%"
"Dec 31, 2020","677","679","680","675","5.10M","-0.44%"
"Dec 30, 2020","680","677","680","677","2.61M","0.00%"
"Dec 29, 2020","680","678","680","675","4.52M","0.59%"
"Dec 28, 2020","676","680","680","676","1.23M","-0.15%"
"Dec 27, 2020","677","679","679","676","2.14M","-0.29%"
"Dec 24, 2020","679","681","681","677","2.51M","-0.15%"
"Dec 23, 2020","680","679","681","678","3.57M","0.44%"
"Dec 22, 2020","677","675","679","673","6.23M","-0.73%"
"Dec 21, 2020","682","683","683","677","8.53M","-0.29%"
"Dec 20, 2020","684","684","688","682","4.54M","0.00%"
"Dec 17, 2020","684","681","684","679","18.37M","0.74%"
"Dec 16, 2020","679","683","684","679","3.76M","-0.29%"
"Dec 15, 2020","681","677","682","676","6.29M","0.44%"
"Dec 14, 2020","678","680","681","677","3.13M","-0.29%"
"Dec 13, 2020","680","680","681","677","2.54M","0.29%"
"Dec 10, 2020","678","679","680","677","3.79M","-0.29%"
"Dec 09, 2020","680","679","682","674","7.86M","0.00%"
"Dec 08, 2020","680","684","684","677","6.71M","-0.44%"
"Dec 07, 2020","683","681","687","679","6.71M","0.00%"
"Dec 06, 2020","683","686","689","681","4.52M","0.29%"
"Dec 03, 2020","681","669","688","668","20.04M","1.95%"
"Dec 02, 2020","668","661","669","658","11.20M","1.06%"
"Dec 01, 2020","661","671","674","656","33.69M","-2.79%"
"Nov 30, 2020","680","681","689","670","313.29M","-0.44%"
"Nov 29, 2020","683","694","697","683","22.55M","-1.44%"
"Nov 26, 2020","693","696","697","685","33.67M","-0.29%"
"Nov 25, 2020","695","699","701","688","22.09M","-0.57%"
"Nov 24, 2020","699","697","701","695","27.12M","0.29%"
"Nov 23, 2020","697","690","697","688","15.60M","1.16%"
"Nov 22, 2020","689","688","690","687","9.41M","0.29%"
"Nov 19, 2020","687","681","688","679","9.84M","1.03%"
"Nov 18, 2020","680","681","682","676","11.81M","0.00%"
"Nov 17, 2020","680","676","681","674","13.76M","1.19%"
"Nov 16, 2020","672","672","676","660","12.50M","0.60%"
"Nov 15, 2020","668","678","678","665","11.24M","-1.76%"
"Nov 12, 2020","680","682","682","670","18.48M","0.00%"
"Nov 11, 2020","680","691","692","678","18.05M","-1.59%"
"Nov 10, 2020","691","695","696","682","23.13M","2.07%"
"Nov 09, 2020","677","666","677","665","20.16M","1.80%"
"Nov 08, 2020","665","665","669","664","7.27M","0.61%"
"Nov 05, 2020","661","663","666","655","8.94M","-0.30%"
